PatientID,role,SeriesInstanceUID,config,iso_spacing_mm,ok,error,seed_sec,centerline_sec,total_sec,air_cc_count,largest_air_cc_voxels,skeleton_voxels,seed_source,seed_distance_mm,seeds_cross_components,n_points,length_mm,n_ccs_total,n_ccs_visited,n_bridges,bridge_length_mm_total,used_kimimaro,max_bridge_wall_frac,bridge_fallback,straight_line_mm,tortuosity
1.3.6.1.4.1.9328.50.4.0011,secondary,1.3.6.1.4.1.9328.50.4.10416,corrected,1.0,True,,29.97,38.44,68.41,150,800119,16897,skeleton_endpoints,402.49347820803257,True,536,745.68,17,1,0,0,False,0.0,No bridge chain from CC 57 to CC 131 within max_bridge_mm=150.0.,291.52,2.558
1.3.6.1.4.1.9328.50.4.0012,primary,1.3.6.1.4.1.9328.50.4.11767,corrected,1.0,True,,16.86,26.26,43.12,644,1709831,24101,skeleton_endpoints,468.45490711486843,True,654,892.1,24,1,0,0,False,0.0,No bridge chain from CC 3 to CC 231 within max_bridge_mm=150.0.,402.27,2.218
1.3.6.1.4.1.9328.50.4.0012,secondary,1.3.6.1.4.1.9328.50.4.11590,corrected,1.0,True,,16.22,20.1,36.32,643,907705,8978,skeleton_endpoints,434.83330139261415,True,938,1219.15,31,6,5,409.83,True,0.4785714285714286,,434.83,2.804
1.3.6.1.4.1.9328.50.4.0013,primary,1.3.6.1.4.1.9328.50.4.12365,corrected,1.0,True,,22.95,31.84,54.79,118,2817196,53412,skeleton_endpoints,426.5301865050116,True,799,1090.33,7,2,1,81.55,True,0.1951219512195122,,426.53,2.556
1.3.6.1.4.1.9328.50.4.0013,secondary,1.3.6.1.4.1.9328.50.4.12344,corrected,1.0,True,,22.96,29.01,51.97,109,2405926,61009,skeleton_endpoints,422.438161154979,True,617,854.83,7,2,1,140.45,True,0.15602836879432624,,422.44,2.024
1.3.6.1.4.1.9328.50.4.0014,primary,1.3.6.1.4.1.9328.50.4.13405,corrected,1.0,True,,24.5,32.37,56.87,175,2553853,72352,skeleton_endpoints,482.50699476795154,True,996,1359.36,7,3,2,284.64,True,0.49645390070921985,,482.51,2.817
1.3.6.1.4.1.9328.50.4.0014,secondary,1.3.6.1.4.1.9328.50.4.13984,corrected,1.0,True,,23.88,28.64,52.52,187,1267658,65080,skeleton_endpoints,473.943034551622,True,602,850.01,26,2,1,91.9,True,0.358695652173913,,473.94,1.793
1.3.6.1.4.1.9328.50.4.0015,primary,1.3.6.1.4.1.9328.50.4.14567,corrected,1.0,True,,17.29,24.46,41.75,80,1966751,71639,skeleton_endpoints,428.02453200722033,True,640,864.5,6,4,3,310.83,True,0.4888888888888889,,428.02,2.02
1.3.6.1.4.1.9328.50.4.0015,secondary,1.3.6.1.4.1.9328.50.4.15089,corrected,1.0,True,,14.95,18.86,33.81,97,960641,40337,skeleton_endpoints,365.07944340923933,True,847,1146.29,12,5,4,263.92,True,0.5,,365.08,3.14
1.3.6.1.4.1.9328.50.4.0016,primary,1.3.6.1.4.1.9328.50.4.16067,corrected,1.0,True,,19.11,23.35,42.46,346,765294,45518,skeleton_endpoints,384.8649113650139,True,471,653.47,14,1,0,0,False,0.0,No bridge chain from CC 21 to CC 176 within max_bridge_mm=150.0.,273.4,2.39
1.3.6.1.4.1.9328.50.4.0016,secondary,1.3.6.1.4.1.9328.50.4.15570,corrected,1.0,True,,18.28,23.25,41.53,293,969876,33370,skeleton_endpoints,404.74312841603626,True,554,763.3,11,1,0,0,False,0.0,No bridge chain from CC 10 to CC 136 within max_bridge_mm=150.0.,274.29,2.783
1.3.6.1.4.1.9328.50.4.0017,primary,1.3.6.1.4.1.9328.50.4.16589,corrected,1.0,True,,13.83,21.38,35.21,206,1786981,28187,skeleton_endpoints,433.888234456755,True,813,1099.7,12,1,0,0,False,0.0,No bridge chain from CC 1 to CC 200 within max_bridge_mm=150.0.,352.71,3.118
1.3.6.1.4.1.9328.50.4.0017,secondary,1.3.6.1.4.1.9328.50.4.17087,corrected,1.0,True,,13.01,21.16,34.17,191,1861230,24930,skeleton_endpoints,413.26141847503743,True,864,1198.51,8,1,0,0,False,0.0,No bridge chain from CC 1 to CC 145 within max_bridge_mm=150.0.,355.07,3.375
1.3.6.1.4.1.9328.50.4.0018,primary,1.3.6.1.4.1.9328.50.4.17584,corrected,1.0,True,,13.1,22.61,35.71,125,2629583,35144,skeleton_endpoints,420.48900104521164,True,740,1016.76,8,2,1,118.16,True,0.025210084033613446,,420.49,2.418
1.3.6.1.4.1.9328.50.4.0018,secondary,1.3.6.1.4.1.9328.50.4.18086,corrected,1.0,True,,13.16,23.37,36.53,165,3012860,26036,skeleton_endpoints,411.3818177800278,True,979,1311.76,12,2,1,106.4,True,0.18691588785046728,,411.38,3.189
1.3.6.1.4.1.9328.50.4.0019,primary,1.3.6.1.4.1.9328.50.4.18592,corrected,1.0,True,,16.46,23.82,40.28,206,1579144,38648,skeleton_endpoints,450.23882551374885,True,509,704.02,4,1,0,0,False,0.0,No bridge chain from CC 3 to CC 168 within max_bridge_mm=150.0.,333.63,2.11
1.3.6.1.4.1.9328.50.4.0019,secondary,1.3.6.1.4.1.9328.50.4.19520,corrected,1.0,True,,8.97,12.07,21.04,90,518171,21813,skeleton_endpoints,385.6280591450783,True,210,289.88,14,1,0,0,False,0.0,No bridge chain from CC 1 to CC 79 within max_bridge_mm=150.0.,193.14,1.501
1.3.6.1.4.1.9328.50.4.0020,primary,1.3.6.1.4.1.9328.50.4.20549,corrected,1.0,True,,24.94,39.12,64.06,99,3324551,87373,skeleton_endpoints,519.170492227746,True,776,1067.41,15,1,0,0,False,0.0,No bridge chain from CC 2 to CC 75 within max_bridge_mm=150.0.,437.4,2.44
1.3.6.1.4.1.9328.50.4.0020,secondary,1.3.6.1.4.1.9328.50.4.19969,corrected,1.0,True,,21.68,32.75,54.44,121,3337547,67828,skeleton_endpoints,489.64783263075924,True,1005,1358.03,9,2,1,96.71,True,0.28865979381443296,,489.65,2.773
1.3.6.1.4.1.9328.50.4.0021,primary,1.3.6.1.4.1.9328.50.4.21481,corrected,1.0,True,,33.19,44.62,77.81,225,1075752,79788,skeleton_endpoints,509.4909223921463,True,265,345.63,24,1,0,0,False,0.0,No bridge chain from CC 1 to CC 148 within max_bridge_mm=150.0.,187.87,1.84
1.3.6.1.4.1.9328.50.4.0021,secondary,1.3.6.1.4.1.9328.50.4.26707,corrected,1.0,True,,35.17,46.09,81.26,1174,2156456,110894,skeleton_endpoints,454.68560566615696,True,966,1321.39,11,1,0,0,False,0.0,No bridge chain from CC 192 to CC 1156 within max_bridge_mm=150.0.,391.55,3.375
1.3.6.1.4.1.9328.50.4.0022,primary,1.3.6.1.4.1.9328.50.4.22612,corrected,1.0,True,,26.18,24.84,51.02,376,3762320,94329,skeleton_endpoints,468.6843287331037,False,863,1193.75,3,1,0,0,False,0.0,,468.68,2.547
1.3.6.1.4.1.9328.50.4.0022,secondary,1.3.6.1.4.1.9328.50.4.22105,corrected,1.0,True,,27.5,23.84,51.34,312,3495019,69069,skeleton_endpoints,452.29415207362564,False,913,1257.1,11,1,0,0,False,0.0,,452.29,2.779
1.3.6.1.4.1.9328.50.4.0023,primary,1.3.6.1.4.1.9328.50.4.23196,corrected,1.0,True,,33.95,36.55,70.49,690,1565091,60875,skeleton_endpoints,497.35500399613954,True,1315,1800.87,7,3,2,256.33,True,0.2916666666666667,,497.36,3.621
1.3.6.1.4.1.9328.50.4.0023,secondary,1.3.6.1.4.1.9328.50.4.23833,corrected,1.0,True,,31.11,39.09,70.2,1232,1800301,49712,skeleton_endpoints,487.8626855991345,True,785,1073.07,7,1,0,0,False,0.0,No bridge chain from CC 3 to CC 1204 within max_bridge_mm=150.0.,237.45,4.519
1.3.6.1.4.1.9328.50.4.0024,primary,1.3.6.1.4.1.9328.50.4.24418,corrected,1.0,True,,20.98,23.38,44.36,520,1186420,62057,skeleton_endpoints,449.1291573701267,True,885,1232.3,18,2,1,78.71,True,0.4936708860759494,,449.13,2.744
1.3.6.1.4.1.9328.50.4.0024,secondary,1.3.6.1.4.1.9328.50.4.24902,corrected,1.0,True,,17.85,22.08,39.93,491,1431274,48027,skeleton_endpoints,445.0898785638694,True,699,909.43,16,5,4,444.59,True,0.44594594594594594,,445.09,2.043
1.3.6.1.4.1.9328.50.4.0025,primary,1.3.6.1.4.1.9328.50.4.26036,corrected,1.0,True,,28.56,36.39,64.95,325,2457138,97047,skeleton_endpoints,555.7454453254655,True,954,1272.59,17,5,4,245.26,True,0.45054945054945056,,555.75,2.29
1.3.6.1.4.1.9328.50.4.0025,secondary,1.3.6.1.4.1.9328.50.4.25478,corrected,1.0,True,,27.58,32.14,59.72,165,1678926,80098,skeleton_endpoints,490.9674123605354,True,1102,1526.51,6,3,2,173.27,True,0.25396825396825395,,490.97,3.109
1.3.6.1.4.1.9328.50.4.0026,primary,1.3.6.1.4.1.9328.50.4.27863,corrected,1.0,True,,32.7,31.05,63.75,368,5388373,162692,skeleton_endpoints,530.0801826139136,False,851,1183.58,10,1,0,0,False,0.0,,530.08,2.233
